tau,TAMSD_free
8.950000000000001,26.561422205322675
9.0,26.741880389270733
9.05,26.922393916357073
9.1,27.10209485397494
9.15,27.28143900415753
9.200000000000001,27.460577856677737
9.25,27.63958686646811
9.3,27.818283181774035
9.35,27.99693444876899
9.4,28.175392286162054
9.450000000000001,28.35387570192629
9.5,28.53251159120986
9.55,28.710704947738645
9.600000000000001,28.889100841424032
9.65,29.067605992141974
9.700000000000001,29.24590856429803
9.75,29.42401663107768
9.8,29.60173946318136
9.850000000000001,29.780040035687705
9.9,29.95819718074141
9.950000000000001,30.136910842367236
10.0,30.31521755532382
10.05,30.493755537172838
10.100000000000001,30.672293081126288
10.15,30.850702311007243
10.200000000000001,31.028593558532126
10.25,31.205295051572502
10.3,31.381908380628968
10.350000000000001,31.558616046592178
10.4,31.73507494034937
10.450000000000001,31.911775275350603
10.5,32.08855578390728
10.55,32.26556025413581
10.600000000000001,32.44273667643084
10.65,32.620474813172464
10.700000000000001,32.797993541303384
10.75,32.97577021268112
10.8,33.15388595713008
10.850000000000001,33.33225211945692
10.9,33.51057284839967
10.950000000000001,33.688952374007094
11.0,33.86714249738678
11.05,34.045269890955765
11.100000000000001,34.22351793734866
11.15,34.40229798081335
11.200000000000001,34.58065127653193
11.25,34.75860985812717
11.3,34.935929286205756
11.350000000000001,35.11325055456744
11.4,35.29090697327639
11.450000000000001,35.46831526676858
11.5,35.64564849673722
11.55,35.822930445391215
11.600000000000001,36.000058639260835
11.65,36.17671105352472
11.700000000000001,36.35247709315316
11.75,36.52801250991471
11.8,36.7031195051582
11.850000000000001,36.878077215136564
11.9,37.05286184890865
11.950000000000001,37.22752178322393
12.0,37.40234221842537
12.05,37.577008985917075
12.100000000000001,37.75170557348205
12.15,37.927467508517864
12.200000000000001,38.1033222946453
12.25,38.27900323311977
12.3,38.45464476663792
12.350000000000001,38.63027824589599
12.4,38.806361778593065
12.450000000000001,38.98246936958496
12.5,39.158768405405944
12.55,39.33569246704768
12.600000000000001,39.51289149526535
12.65,39.689269454930944
12.700000000000001,39.86568508002946
12.75,40.0421576001205
12.8,40.21863155378196
12.850000000000001,40.39491232761743
12.9,40.57094891819057
12.950000000000001,40.74748990866388
13.0,40.9241686131789
13.05,41.10095484353872
13.100000000000001,41.277772313702094
13.15,41.45439555327452
13.200000000000001,41.63146994828623
13.25,41.8089324472666
13.3,41.98730412321621
13.350000000000001,42.16592703742118
13.4,42.34506943925077
13.450000000000001,42.52435209017821
13.5,42.703686236507
13.55,42.88374063459883
13.600000000000001,43.063803627935904
13.65,43.244272003656974
13.700000000000001,43.425212310947586
13.75,43.606290250100464
13.8,43.78694010944296
13.850000000000001,43.96789028652583
13.9,44.148761437215086
13.950000000000001,44.32968318236571
14.0,44.51073383597894
14.05,44.69164713456659
14.100000000000001,44.87299374410377
14.15,45.05385248093026
14.200000000000001,45.235451158173824
14.25,45.416717762861154
14.3,45.59789202514044
14.350000000000001,45.77905706146428
14.4,45.96022452559011
14.450000000000001,46.14080850185309
14.5,46.3211416607347
14.55,46.50150010495875
14.600000000000001,46.681787892376384
14.65,46.86227536661925
14.700000000000001,47.04229601533049
14.75,47.222311295346714
14.8,47.40178934793082
14.850000000000001,47.58131527013814
14.9,47.76056392806017
14.950000000000001,47.93917918558101
15.0,48.117900395994354
15.05,48.29660842767678
15.100000000000001,48.47501689685667
15.15,48.65320152953895
15.200000000000001,48.83045911421709
15.25,49.007957614664996
15.3,49.18451994344088
15.350000000000001,49.35986939853405
15.4,49.53542875847369
15.450000000000001,49.710441421933325
15.5,49.8853252107621
15.55,50.060045128674986
15.600000000000001,50.2346637881514
15.65,50.40893325972864
15.700000000000001,50.58354598488787
15.75,50.75817455201003
15.8,50.93226087157501
15.850000000000001,51.1062132244558
15.9,51.27922075081297
15.950000000000001,51.451716163865136
16.0,51.62408561652535
16.05,51.79635392031568
16.1,51.968391819422564
16.150000000000002,52.140526974192746
16.2,52.31238713389403
16.25,52.48400251663089
16.3,52.6552333663545
16.35,52.82599319970943
16.400000000000002,52.99668260355781
16.45,53.16688427625306
16.5,53.33663894251486
16.55,53.5059111508117
16.6,53.675115852285614
16.650000000000002,53.84387461337832
16.7,54.012052114530405
16.75,54.17991512732305
16.8,54.34705523398732
16.85,54.514022344504006
16.900000000000002,54.680508437155936
16.95,54.846921946911664
17.0,55.012492502952384
17.05,55.17773044114917
17.1,55.34236919939164
17.150000000000002,55.50665529246027
17.2,55.6701482588196
17.25,55.83352689498237
17.3,55.996434418124636
17.35,56.158262550466574
17.400000000000002,56.319317049648376
17.45,56.47982463364781
17.5,56.639808332261715
17.55,56.799125272329206
17.6,56.95713265175097
17.650000000000002,57.1145286590641
17.7,57.27169143760075
17.75,57.42815181666976
17.8,57.58419308411014
17.85,57.73952119904457
17.900000000000002,57.89480084599675
17.95,58.049650557110965
18.0,58.20346793214362
18.05,58.35678833723802
18.1,58.509597508426076
18.150000000000002,58.66174701308092
18.2,58.813758607239784
18.25,58.96526379037786
18.3,59.115840254632104
18.35,59.266105829179345
18.400000000000002,59.41610870629565
18.45,59.56603529551916
18.5,59.71548780261091
18.55,59.86514637550394
18.6,60.01442499286392
18.650000000000002,60.16373898878761
18.7,60.31198045176367
18.75,60.460032836007876
18.8,60.607453439809596
18.85,60.75420008872807
18.900000000000002,60.90021900419281
18.95,61.045993061788685
19.0,61.191507348389806
19.05,61.336620407570095
19.1,61.4817457679972
19.150000000000002,61.62690560090241
19.200000000000003,61.771149967049965
19.25,61.91555420530781
19.3,62.05901176457744
19.35,62.20264144202537
19.400000000000002,62.34574295417295
19.450000000000003,62.48811437747314
19.5,62.63058906291602
19.55,62.772614159277026
19.6,62.91424644147752
19.650000000000002,63.05552396196142
19.700000000000003,63.197128192768055
19.75,63.338504401012926
19.8,63.479413209478764
19.85,63.619978147745556
19.900000000000002,63.7602594110329
19.950000000000003,63.900756813299324
20.0,64.04088820985706
20.05,64.1802056966908
20.1,64.31912792144121
20.150000000000002,64.45719892721331
20.200000000000003,64.5944585472471
20.25,64.73120384798096
20.3,64.86757133416371
20.35,65.00458860971709
20.400000000000002,65.14122419192546
20.450000000000003,65.27790085252401
20.5,65.41379640646497
20.55,65.54985556904246
20.6,65.68589122205314
20.650000000000002,65.8210047295144
20.700000000000003,65.95572409212588
20.75,66.0895537729931
20.8,66.22239340587471
20.85,66.35500858918984
20.900000000000002,66.48783229824126
20.950000000000003,66.62072469679862
21.0,66.75390647348786
21.05,66.88583526541922
21.1,67.0171810055489
