tau,TAMSD_with_walls
13.600000000000001,25.837914138713188
13.65,25.873689525676166
13.700000000000001,25.9088404756644
13.75,25.943510222731692
13.8,25.978057507105696
13.850000000000001,26.01257387386184
13.9,26.046652503485063
13.950000000000001,26.080994201598674
14.0,26.11467358413414
14.05,26.148173206993544
14.100000000000001,26.181896275069423
14.15,26.215089980068736
14.200000000000001,26.248208741603847
14.25,26.2809899832234
14.3,26.313749034576215
14.350000000000001,26.346177567395603
14.4,26.377815607266292
14.450000000000001,26.409299317757792
14.5,26.43990166497031
14.55,26.47040620073282
14.600000000000001,26.500321173801506
14.65,26.529908493922235
14.700000000000001,26.55919245233402
14.75,26.588399710436
14.8,26.61740155016143
14.850000000000001,26.646078737698748
14.9,26.67435964833707
14.950000000000001,26.702057974108676
15.0,26.729271826958552
15.05,26.756574044965237
15.100000000000001,26.783270738241825
15.15,26.80986400199542
15.200000000000001,26.836110818763622
15.25,26.86244154548761
15.3,26.888311621384585
15.350000000000001,26.913086883427965
15.4,26.937460450981142
15.450000000000001,26.961655381466297
15.5,26.98530862579075
15.55,27.00878933473319
15.600000000000001,27.032204701490475
15.65,27.054786881303233
15.700000000000001,27.076979919742474
15.75,27.09857925828994
15.8,27.118898260053495
15.850000000000001,27.138735671169876
15.9,27.15775341670367
15.950000000000001,27.17587409326094
16.0,27.193471820122483
16.05,27.21014374171166
16.1,27.226441496307284
16.150000000000002,27.242378044091495
16.2,27.257773756266626
16.25,27.271990559674194
16.3,27.286139938185
16.35,27.299440612242456
16.400000000000002,27.312380679078682
16.45,27.32569272673258
16.5,27.338682458171895
16.55,27.351342756260706
16.6,27.36360606417557
16.650000000000002,27.37564722972042
16.7,27.38694718752242
16.75,27.397193511807345
16.8,27.40685081615122
16.85,27.41629105088576
16.900000000000002,27.424929019331945
16.95,27.43271615610729
17.0,27.43960337762518
17.05,27.446490467955716
17.1,27.45265837073141
17.150000000000002,27.458241562731143
17.2,27.462762157142222
17.25,27.467126796198926
17.3,27.47092799080114
17.35,27.474404062438335
17.400000000000002,27.47745764038758
17.45,27.480290197936814
17.5,27.482599368938093
17.55,27.484983524197798
17.6,27.486793862805293
17.650000000000002,27.48859775409036
17.7,27.490672264010975
17.75,27.49193530117051
17.8,27.492859446984866
17.85,27.493712852823183
17.900000000000002,27.495013793168912
17.95,27.49657853450329
18.0,27.497751848932506
18.05,27.49877635530222
18.1,27.499579064629817
18.150000000000002,27.500421301421117
18.2,27.50132307681303
18.25,27.502204290082467
18.3,27.502697993309678
18.35,27.503167899950938
18.400000000000002,27.50375135473255
18.45,27.504378884376298
18.5,27.505012833000315
18.55,27.50623301372873
18.6,27.507874103498434
18.650000000000002,27.509903669718373
18.7,27.51152583355737
18.75,27.514063656056138
18.8,27.516673476315614
18.85,27.519465431675243
18.900000000000002,27.522329882123593
18.95,27.525671454113382
19.0,27.529583647821475
19.05,27.533680683659547
19.1,27.538235959411722
19.150000000000002,27.543158807096777
19.200000000000003,27.54805521055494
19.25,27.55342912866286
19.3,27.55868240071292
19.35,27.564703224047175
19.400000000000002,27.570964027886447
19.450000000000003,27.577274004659163
19.5,27.584581240251293
19.55,27.591901010410133
19.6,27.5998956031943
19.650000000000002,27.608692947814934
19.700000000000003,27.618164137583985
19.75,27.62756457081237
19.8,27.636931274348967
19.85,27.646304986995883
19.900000000000002,27.655996789262364
19.950000000000003,27.666013734707303
20.0,27.67595346387775
20.05,27.685459920017962
20.1,27.694990303488343
20.150000000000002,27.70432056103637
20.200000000000003,27.713306638333773
20.25,27.7219636818337
20.3,27.730345058091295
20.35,27.739241766062054
20.400000000000002,27.748188771140704
20.450000000000003,27.757389836235877
20.5,27.766154343893586
20.55,27.77523581120953
20.6,27.784139040847723
20.650000000000002,27.792669923110495
20.700000000000003,27.80069997478008
20.75,27.808572945894714
20.8,27.816250454630108
20.85,27.823929072614316
20.900000000000002,27.831994898197404
20.950000000000003,27.840248686111728
21.0,27.848736535509286
21.05,27.856665461624544
21.1,27.864617216260022
21.150000000000002,27.872076936729542
21.200000000000003,27.879218023684416
21.25,27.88588449298879
21.3,27.891842463424894
21.35,27.897855167636216
21.400000000000002,27.903233024895616
21.450000000000003,27.907695962674538
21.5,27.912369827607517
21.55,27.916802352475486
21.6,27.92098205131277
21.650000000000002,27.92440403852805
21.700000000000003,27.927377511948084
21.75,27.92984413882211
21.8,27.93181201976021
21.85,27.933811465965945
21.900000000000002,27.93568397175347
21.950000000000003,27.937167225747523
